Knowledge Base,Question,Option 1,Option 2,Actual Answer,Bit Representation,Opt1GenderFeature,Opt2GenderFeature 
bee landed on flower because it had pollen. ,what does it refer to? ,it refers to bee ,it refers to flower ,flower ,1 ,bee ,flower ,1 ,1  
firefox is used more than internet explorer because it is more stable. ,what does it refer to? ,it refers to firefox ,it refers to internet explorer ,firefox ,0 ,firefox ,internet explorer ,1 ,1 
firefox is used more than internet explorer because it is more stable. ,what is more stable? ,firefox is more stable ,internet explorer is more stable ,firefox ,0 ,firefox ,internet explorer ,1 ,1 
firefox is used more than internet explorer because it is less stable. ,what does it refer to? ,it refers to firefox ,it refers to internet explorer ,internet explorer ,1 ,firefox ,internet explorer ,1 ,1 
firefox is used more than internet explorer because it is less stable. ,what is less stable? ,firefox is less stable ,internet explorer is less stable ,internet explorer ,1 ,firefox ,internet explorer ,1 ,1 
students hate exams because they are lazy. ,what does they refer to? ,they refers to students ,they refers to exams ,students ,0 ,students ,exams ,1 ,1 
students hate exams because they are lazy. ,what are lazy? ,students are lazy ,exams are lazy ,students ,0 ,students ,exams ,1 ,1 
students hate exams because they are tedious. ,what does they refer to? ,they refers to students ,they refers to exams ,exams ,1 ,students ,exams ,1 ,1 
students hate exams because they are tedious. ,what are tedious? ,students are tedious ,exams are tedious ,exams ,1 ,students ,exams ,1 ,1 
gary envied bill because he was rich. ,what does he refer to? ,he refers to gary ,he refers to bill ,bill ,1 ,gary ,bill ,0 ,1 
gary envied bill because he was rich. ,what was rich? ,gary was rich ,bill was rich ,bill ,1 ,gary ,bill ,0 ,1 
gary envied bill because he was poor. ,what does he refer to? ,he refers to gary ,he refers to bill ,gary ,0 ,gary ,bill ,0 ,1 
gary envied bill because he was poor. ,what was poor? ,gary was poor ,bill was poor ,gary ,0 ,gary ,bill ,0 ,1 
company accepted resolution because it was well-written. ,what does it refer to? ,it refers to company ,it refers to resolution ,resolution ,1 ,company ,resolution ,1 ,1 
company accepted resolution because it was well-written. ,what was well-written? ,company was well-written ,resolution was well-written ,resolution ,1 ,company ,resolution ,1 ,1 
company accepted resolution because it was desperate. ,what does it refer to? ,it refers to company ,it refers to resolution ,company ,0 ,company ,resolution ,1 ,1 
company accepted resolution because it was desperate. ,what was desperate? ,company was desperate ,resolution was desperate ,company ,0 ,company ,resolution ,1 ,1 
"paper beats rock, but it is beaten by scissors. ",what does it refer to? ,it refers to paper ,it refers to rock ,paper ,0 ,paper ,rock ,1 ,1 
"paper beats rock, but it is beaten by scissors. ",what is beaten by scissors? ,paper is beaten by scissors ,rock is beaten by scissors ,paper ,0 ,paper ,rock ,1 ,1 
"paper beats rock, but it is able to beat scissors. ",what does it refer to? ,it refers to paper ,it refers to rock ,rock ,1 ,paper ,rock ,1 ,1 
"paper beats rock, but it is able to beat scissors. ",what is able to beat scissors? ,paper is able to beat scissors ,rock is able to beat scissors ,rock ,1 ,paper ,rock ,1 ,1 
teacher told student that he needed to practice. ,what does he refer to? ,he refers to teacher ,he refers to student ,student ,1 ,teacher ,student ,1 ,1 
teacher told student that he needed to practice. ,what needed to practice? ,teacher needed to practice ,student needed to practice ,student ,1 ,teacher ,student ,1 ,1 
teacher told student that he expected something better from him. ,what does he refer to? ,he refers to teacher ,he refers to student ,teacher ,0 ,teacher ,student ,1 ,1 
teacher told student that he expected something better from him. ,what expected something better from him? ,teacher expected something better from him ,student expected something better from him ,teacher ,0 ,teacher ,student ,1 ,1 
mr. sanders gave james a promotion because he has done good work. ,what does he refer to? ,he refers to mr. sanders ,he refers to james ,james ,1 ,mr. sanders ,james ,1 ,0 
mr. sanders gave james a promotion because he has done good work. ,what has done good work? ,mr. sanders has done good work ,james has done good work ,james ,1 ,mr. sanders ,james ,1 ,0 
mr. sanders gave james a promotion because he appreciated his good work. ,what does he refer to? ,he refers to mr. sanders ,he refers to james ,mr. sanders ,0 ,mr. sanders ,james ,1 ,0 
mr. sanders gave james a promotion because he appreciated his good work. ,what appreciated his good work? ,mr. sanders appreciated his good work ,james appreciated his good work ,mr. sanders ,0 ,mr. sanders ,james ,1 ,0 
coach told captain that he was proud of him. ,what does he refer to? ,he refers to coach ,he refers to captain ,coach ,0 ,coach ,captain ,1 ,1 
coach told captain that he was proud of him. ,what was proud of him? ,coach was proud of him ,captain was proud of him ,coach ,0 ,coach ,captain ,1 ,1 
coach told captain that he was fired. ,what does he refer to? ,he refers to coach ,he refers to captain ,captain ,1 ,coach ,captain ,1 ,1 
coach told captain that he was fired. ,what was fired? ,coach was fired ,captain was fired ,captain ,1 ,coach ,captain ,1 ,1 
luigi rescued mario because he was in trouble. ,what does he refer to? ,he refers to luigi ,he refers to mario ,mario ,1 ,luigi ,mario ,0 ,0 
luigi rescued mario because he was in trouble. ,what was in trouble? ,luigi was in trouble ,mario was in trouble ,mario ,1 ,luigi ,mario ,0 ,0 
luigi rescued mario because he was only one who can. ,what does he refer to? ,he refers to luigi ,he refers to mario ,luigi ,0 ,luigi ,mario ,0 ,0 
luigi rescued mario because he was only one who can. ,what was only one who can? ,luigi was only one who can ,mario was only one who can ,luigi ,0 ,luigi ,mario ,0 ,0 
planet express was bought out by mom's friendly delivery service so they can no longer be a threat. ,what does they refer to? ,they refers to planet express ,they refers to mom's friendly delivery service ,planet express ,0 ,planet express ,mom's friendly delivery service ,1 ,1 
planet express was bought out by mom's friendly delivery service so they can no longer be a threat. ,what can no longer be a threat? ,planet express can no longer be a threat ,mom's friendly delivery service can no longer be a threat ,planet express ,0 ,planet express ,mom's friendly delivery service ,1 ,1 
planet express was bought out by mom's friendly delivery service so they can eliminate competition. ,what does they refer to? ,they refers to planet express ,they refers to mom's friendly delivery service ,mom's friendly delivery service ,1 ,planet express ,mom's friendly delivery service ,1 ,1 
planet express was bought out by mom's friendly delivery service so they can eliminate competition. ,what can eliminate competition? ,planet express can eliminate competition ,mom's friendly delivery service can eliminate competition ,mom's friendly delivery service ,1 ,planet express ,mom's friendly delivery service ,1 ,1 
squirrels buried nuts so they would not lose them. ,what does they refer to? ,they refers to squirrels ,they refers to nuts ,squirrels ,0 ,squirrels ,nuts ,1 ,1 
squirrels buried nuts so they would not lose them. ,what would not lose them? ,squirrels would not lose them ,nuts would not lose them ,squirrels ,0 ,squirrels ,nuts ,1 ,1 
squirrels buried nuts so they would not get lost. ,what does they refer to? ,they refers to squirrels ,they refers to nuts ,nuts ,1 ,squirrels ,nuts ,1 ,1 
squirrels buried nuts so they would not get lost. ,what would not get lost? ,squirrels would not get lost ,nuts would not get lost ,nuts ,1 ,squirrels ,nuts ,1 ,1 
jocks did not like nerds because they were bullies. ,what does they refer to? ,they refers to jocks ,they refers to nerds ,jocks ,0 ,jocks ,nerds ,1 ,1 
jocks did not like nerds because they were bullies. ,what were bullies? ,jocks were bullies ,nerds were bullies ,jocks ,0 ,jocks ,nerds ,1 ,1 
jocks did not like nerds because they were losers. ,what does they refer to? ,they refers to jocks ,they refers to nerds ,nerds ,1 ,jocks ,nerds ,1 ,1 
jocks did not like nerds because they were losers. ,what were losers? ,jocks were losers ,nerds were losers ,nerds ,1 ,jocks ,nerds ,1 ,1 
spider ate fly because he was hungry. ,what does he refer to? ,he refers to spider ,he refers to fly ,spider ,0 ,spider ,fly ,1 ,1 
spider ate fly because he was hungry. ,what was hungry? ,spider was hungry ,fly was hungry ,spider ,0 ,spider ,fly ,1 ,1 
spider ate fly because he looked tasty. ,what does he refer to? ,he refers to spider ,he refers to fly ,fly ,1 ,spider ,fly ,1 ,1 
spider ate fly because he looked tasty. ,what looked tasty? ,spider looked tasty ,fly looked tasty ,fly ,1 ,spider ,fly ,1 ,1 
nurse gave girl a lollypop so that she would stop crying. ,what does she refer to? ,she refers to nurse ,she refers to girl ,girl ,1 ,nurse ,girl ,1 ,1 
nurse gave girl a lollypop so that she would stop crying. ,what would stop crying? ,nurse would stop crying ,girl would stop crying ,girl ,1 ,nurse ,girl ,1 ,1 
nurse gave girl a lollypop because she had too many. ,what does she refer to? ,she refers to nurse ,she refers to girl ,nurse ,0 ,nurse ,girl ,1 ,1 
nurse gave girl a lollypop because she had too many. ,what had too many? ,nurse had too many ,girl had too many ,nurse ,0 ,nurse ,girl ,1 ,1 
police officer chased thief because he was stealing from bank. ,what does he refer to? ,he refers to police officer ,he refers to thief ,thief ,1 ,police officer ,thief ,1 ,1 
police officer chased thief because he was stealing from bank. ,what was stealing from bank? ,police officer was stealing from bank ,thief was stealing from bank ,thief ,1 ,police officer ,thief ,1 ,1 
police officer chased thief because he was protecting bank. ,what does he refer to? ,he refers to police officer ,he refers to thief ,police officer ,0 ,police officer ,thief ,1 ,1 
police officer chased thief because he was protecting bank. ,what was protecting bank? ,police officer was protecting bank ,thief was protecting bank ,police officer ,0 ,police officer ,thief ,1 ,1 
mechanic charged man one hundred dollars although he had done no work. ,what does he refer to? ,he refers to mechanic ,he refers to man ,mechanic ,0 ,mechanic ,man ,1 ,1 
mechanic charged man one hundred dollars although he had done no work. ,what had done no work? ,mechanic had done no work ,man had done no work ,mechanic ,0 ,mechanic ,man ,1 ,1 
mechanic charged man one hundred dollars although he only had eighty dollars. ,what does he refer to? ,he refers to mechanic ,he refers to man ,man ,1 ,mechanic ,man ,1 ,1 
mechanic charged man one hundred dollars although he only had eighty dollars. ,what only had eighty dollars? ,mechanic only had eighty dollars ,man only had eighty dollars ,man ,1 ,mechanic ,man ,1 ,1 
"cat looked at big dog, and it was terrified. ",what does it refer to? ,it refers to cat ,it refers to big dog ,cat ,0 ,cat ,big dog ,1 ,1 
"cat looked at big dog, and it was terrified. ",what was terrified? ,cat was terrified ,big dog was terrified ,cat ,0 ,cat ,big dog ,1 ,1 
"cat looked at big dog, and it barked menacingly. ",what does it refer to? ,it refers to cat ,it refers to big dog ,big dog ,1 ,cat ,big dog ,1 ,1 
"cat looked at big dog, and it barked menacingly. ",what barked menacingly? ,cat barked menacingly ,big dog barked menacingly ,big dog ,1 ,cat ,big dog ,1 ,1 
"batman caught thief, and he plead innocence. ",what does he refer to? ,he refers to batman ,he refers to thief ,thief ,1 ,batman ,thief ,1 ,1 
"batman caught thief, and he plead innocence. ",what plead innocence? ,batman plead innocence ,thief plead innocence ,thief ,1 ,batman ,thief ,1 ,1 
"batman caught thief, and he recovered stolen diamonds. ",what does he refer to? ,he refers to batman ,he refers to thief ,batman ,0 ,batman ,thief ,1 ,1 
"batman caught thief, and he recovered stolen diamonds. ",what recovered stolen diamonds? ,batman recovered stolen diamonds ,thief recovered stolen diamonds ,batman ,0 ,batman ,thief ,1 ,1 
"emancipation proclamation made slavery illegal, but it was still practiced. ",what does it refer to? ,it refers to emancipation proclamation ,it refers to slavery ,slavery ,1 ,emancipation proclamation ,slavery ,1 ,1 
"emancipation proclamation made slavery illegal, but it was still practiced. ",what was still practiced? ,emancipation proclamation was still practiced ,slavery was still practiced ,slavery ,1 ,emancipation proclamation ,slavery ,1 ,1 
"emancipation proclamation made slavery illegal, but it did not actually cause many slaves to be freed. ",what does it refer to? ,it refers to emancipation proclamation ,it refers to slavery ,emancipation proclamation ,0 ,emancipation proclamation ,slavery ,1 ,1 
"emancipation proclamation made slavery illegal, but it did not actually cause many slaves to be freed. ",what did not actually cause many slaves to be freed? ,emancipation proclamation did not actually cause many slaves to be freed ,slavery did not actually cause many slaves to be freed ,emancipation proclamation ,0 ,emancipation proclamation ,slavery ,1 ,1 
it annoyed chris when sebastian jangled his keys because he was in a bad mood. ,what does he refer to? ,he refers to chris ,he refers to sebastian ,chris ,0 ,chris ,sebastian ,1 ,0 
it annoyed chris when sebastian jangled his keys because he was in a bad mood. ,what was in a bad mood? ,chris was in a bad mood ,sebastian was in a bad mood ,chris ,0 ,chris ,sebastian ,1 ,0 
it annoyed chris when sebastian jangled his keys because he wanted to make fun. ,what does he refer to? ,he refers to chris ,he refers to sebastian ,sebastian ,1 ,chris ,sebastian ,1 ,0 
it annoyed chris when sebastian jangled his keys because he wanted to make fun. ,what wanted to make fun? ,chris wanted to make fun ,sebastian wanted to make fun ,sebastian ,1 ,chris ,sebastian ,1 ,0 
sam helped davey fortify their bunker because he thought mexicans were invading. ,what does he refer to? ,he refers to sam ,he refers to davey ,davey ,1 ,sam ,davey ,1 ,0 
sam helped davey fortify their bunker because he thought mexicans were invading. ,whatlped davey fortify their bunker because he thought mexicans were invading? ,samlped davey fortify their bunker because he thought mexicans were invading ,daveylped davey fortify their bunker because he thought mexicans were invading ,davey ,1 ,sam ,davey ,1 ,0 
sam helped davey fortify their bunker because he wanted to be a good friend. ,what does he refer to? ,he refers to sam ,he refers to davey ,sam ,0 ,sam ,davey ,1 ,0 
sam helped davey fortify their bunker because he wanted to be a good friend. ,whatlped davey fortify their bunker because he wanted to be a good friend? ,samlped davey fortify their bunker because he wanted to be a good friend ,daveylped davey fortify their bunker because he wanted to be a good friend ,sam ,0 ,sam ,davey ,1 ,0 
"fred drove to mack's tire shop, and he bought a tire. ",what does he refer to? ,he refers to fred ,he refers to mack ,fred ,0 ,fred ,mack ,1 ,0 
"fred drove to mack's tire shop, and he bought a tire. ",what bought a tire? ,fred bought a tire ,mack bought a tire ,fred ,0 ,fred ,mack ,1 ,0 
"fred drove to mack's tire shop, and he sold a tire. ",what does he refer to? ,he refers to fred ,he refers to mack ,mack ,1 ,fred ,mack ,1 ,0 
"fred drove to mack's tire shop, and he sold a tire. ",what sold a tire? ,fred sold a tire ,mack sold a tire ,mack ,1 ,fred ,mack ,1 ,0 
"randy went to nick's store, and bought his groceries. ",what does his refer to? ,his refers to randy ,his refers to nick ,randy ,0 ,randy ,nick ,1 ,0 
"randy went to nick's store, and bought his groceries. ",what groceries? ,randy groceries ,nick groceries ,randy ,0 ,randy ,nick ,1 ,0 
"randy went to nick's store, and looked at his groceries. ",what does his refer to? ,his refers to randy ,his refers to nick ,nick ,1 ,randy ,nick ,1 ,0 
"randy went to nick's store, and looked at his groceries. ",what groceries? ,randy groceries ,nick groceries ,nick ,1 ,randy ,nick ,1 ,0 
"henry changed jack's oil, because he gave him money. ",what does he refer to? ,he refers to henry ,he refers to jack ,jack ,1 ,henry ,jack ,0 ,0 
"henry changed jack's oil, because he gave him money. ",what gave him money? ,henry gave him money ,jack gave him money ,jack ,1 ,henry ,jack ,0 ,0 
"henry changed jack's oil, because he needed money. ",what does he refer to? ,he refers to henry ,he refers to jack ,henry ,0 ,henry ,jack ,0 ,0 
"henry changed jack's oil, because he needed money. ",what needed money? ,henry needed money ,jack needed money ,henry ,0 ,henry ,jack ,0 ,0 
"bob cooked omelets for jack, because he knew how. ",what does he refer to? ,he refers to bob ,he refers to jack ,bob ,0 ,bob ,jack ,0 ,0 
"bob cooked omelets for jack, because he knew how. ",what knew how? ,bob knew how ,jack knew how ,bob ,0 ,bob ,jack ,0 ,0 
"bob cooked omelets for jack, because he was hungry. ",what does he refer to? ,he refers to bob ,he refers to jack ,jack ,1 ,bob ,jack ,0 ,0 
"bob cooked omelets for jack, because he was hungry. ",what was hungry? ,bob was hungry ,jack was hungry ,jack ,1 ,bob ,jack ,0 ,0 
john bought a beer for bill because he likes cool guys. ,what does he refer to? ,he refers to john ,he refers to bill ,john ,0 ,john ,bill ,0 ,1 
john bought a beer for bill because he likes cool guys. ,what likes cool guys? ,john likes cool guys ,bill likes cool guys ,john ,0 ,john ,bill ,0 ,1 
john bought a beer for bill because he is cool. ,what does he refer to? ,he refers to john ,he refers to bill ,bill ,1 ,john ,bill ,0 ,1 
john bought a beer for bill because he is cool. ,what is cool? ,john is cool ,bill is cool ,bill ,1 ,john ,bill ,0 ,1 
gartok defeated grognak because he was stronger man. ,what does he refer to? ,he refers to gartok ,he refers to grognak ,gartok ,0 ,gartok ,grognak ,1 ,1 
gartok defeated grognak because he was stronger man. ,what was stronger man? ,gartok was stronger man ,grognak was stronger man ,gartok ,0 ,gartok ,grognak ,1 ,1 
gartok defeated grognak because he was puny and weak. ,what does he refer to? ,he refers to gartok ,he refers to grognak ,grognak ,1 ,gartok ,grognak ,1 ,1 
gartok defeated grognak because he was puny and weak. ,what was puny and weak? ,gartok was puny and weak ,grognak was puny and weak ,grognak ,1 ,gartok ,grognak ,1 ,1 
shawn hit joe but he did not scream. ,what does he refer to? ,he refers to shawn ,he refers to joe ,joe ,1 ,shawn ,joe ,1 ,0 
shawn hit joe but he did not scream. ,what did not scream? ,shawn did not scream ,joe did not scream ,joe ,1 ,shawn ,joe ,1 ,0 
shawn hit joe but he did not apologize. ,what does he refer to? ,he refers to shawn ,he refers to joe ,shawn ,0 ,shawn ,joe ,1 ,0 
shawn hit joe but he did not apologize. ,what did not apologize? ,shawn did not apologize ,joe did not apologize ,shawn ,0 ,shawn ,joe ,1 ,0 
katie accused jane but she was not found guilty. ,what does she refer to? ,she refers to katie ,she refers to jane ,jane ,1 ,katie ,jane ,1 ,1 
katie accused jane but she was not found guilty. ,what was not found guilty? ,katie was not found guilty ,jane was not found guilty ,jane ,1 ,katie ,jane ,1 ,1 
katie accused jane but she felt badly about it. ,what does she refer to? ,she refers to katie ,she refers to jane ,katie ,0 ,katie ,jane ,1 ,1 
katie accused jane but she felt badly about it. ,what felt badly about it? ,katie felt badly about it ,jane felt badly about it ,katie ,0 ,katie ,jane ,1 ,1 
sherry called karla but she did not answer. ,what does she refer to? ,she refers to sherry ,she refers to karla ,karla ,1 ,sherry ,karla ,1 ,1 
sherry called karla but she did not answer. ,what did not answer? ,sherry did not answer ,karla did not answer ,karla ,1 ,sherry ,karla ,1 ,1 
sherry called karla but she later regretted it. ,what does she refer to? ,she refers to sherry ,she refers to karla ,sherry ,0 ,sherry ,karla ,1 ,1 
sherry called karla but she later regretted it. ,what later regretted it? ,sherry later regretted it ,karla later regretted it ,sherry ,0 ,sherry ,karla ,1 ,1 
steven assassinated president because he was a too liberal. ,what does he refer to? ,he refers to steven ,he refers to president ,president ,1 ,steven ,president ,0 ,1 
steven assassinated president because he was a too liberal. ,what was a too liberal? ,steven was a too liberal ,president was a too liberal ,president ,1 ,steven ,president ,0 ,1 
steven assassinated president because he was paid to do it. ,what does he refer to? ,he refers to steven ,he refers to president ,steven ,0 ,steven ,president ,0 ,1 
steven assassinated president because he was paid to do it. ,what was paid to do it? ,steven was paid to do it ,president was paid to do it ,steven ,0 ,steven ,president ,0 ,1 
wolves ate cows because they were hungry. ,what does they refer to? ,they refers to wolves ,they refers to cows ,wolves ,0 ,wolves ,cows ,1 ,1 
wolves ate cows because they were hungry. ,what were hungry? ,wolves were hungry ,cows were hungry ,wolves ,0 ,wolves ,cows ,1 ,1 
wolves ate cows because they were delicious. ,what does they refer to? ,they refers to wolves ,they refers to cows ,cows ,1 ,wolves ,cows ,1 ,1 
wolves ate cows because they were delicious. ,what were delicious? ,wolves were delicious ,cows were delicious ,cows ,1 ,wolves ,cows ,1 ,1 
michael backed bill because john really liked him. ,what does him refer to? ,him refers to michael ,him refers to bill ,bill ,1 ,michael ,bill ,0 ,1 
michael backed bill because john really liked him. ,what? ,michael ,bill ,bill ,1 ,michael ,bill ,0 ,1 
michael backed bill because john asked him to. ,what does him refer to? ,him refers to michael ,him refers to bill ,michael ,0 ,michael ,bill ,0 ,1 
michael backed bill because john asked him to. ,what to? ,michael to ,bill to ,michael ,0 ,michael ,bill ,0 ,1 
"johnson wanted to make friendship with david, because he is well connected. ",what does he refer to? ,he refers to johnson ,he refers to david ,david ,1 ,johnson ,david ,1 ,0 
"johnson wanted to make friendship with david, because he is well connected. ",what is well connected? ,johnson is well connected ,david is well connected ,david ,1 ,johnson ,david ,1 ,0 
"johnson wanted to make friendship with david, because he wanted help. ",what does he refer to? ,he refers to johnson ,he refers to david ,johnson ,0 ,johnson ,david ,1 ,0 
"johnson wanted to make friendship with david, because he wanted help. ",what wanted help? ,johnson wanted help ,david wanted help ,johnson ,0 ,johnson ,david ,1 ,0 
company declared bonus for employees because they made huge profits. ,what does they refer to? ,they refers to company ,they refers to employees ,company ,0 ,company ,employees ,1 ,1 
company declared bonus for employees because they made huge profits. ,what made huge profits? ,company made huge profits ,employees made huge profits ,company ,0 ,company ,employees ,1 ,1 
company declared bonus for employees because they worked hard. ,what does they refer to? ,they refers to company ,they refers to employees ,employees ,1 ,company ,employees ,1 ,1 
company declared bonus for employees because they worked hard. ,what worked hard? ,company worked hard ,employees worked hard ,employees ,1 ,company ,employees ,1 ,1 
school denied parents parking permits because they did not want parking lots to be over crowded with cars. ,what does they refer to? ,they refers to school ,they refers to parents ,school ,0 ,school ,parents ,1 ,1 
school denied parents parking permits because they did not want parking lots to be over crowded with cars. ,what did not want parking lots to be over crowded with cars? ,school did not want parking lots to be over crowded with cars ,parents did not want parking lots to be over crowded with cars ,school ,0 ,school ,parents ,1 ,1 
school denied parents parking permits because they violated parking rules. ,what does they refer to? ,they refers to school ,they refers to parents ,parents ,1 ,school ,parents ,1 ,1 
school denied parents parking permits because they violated parking rules. ,what violated parking rules? ,school violated parking rules ,parents violated parking rules ,parents ,1 ,school ,parents ,1 ,1 
joe slapped jose in face because he cussed him out. ,what does he refer to? ,he refers to joe ,he refers to jose ,jose ,1 ,joe ,jose ,0 ,0 
joe slapped jose in face because he cussed him out. ,what cussed him out? ,joe cussed him out ,jose cussed him out ,jose ,1 ,joe ,jose ,0 ,0 
joe slapped jose in face because he was angry. ,what does he refer to? ,he refers to joe ,he refers to jose ,joe ,0 ,joe ,jose ,0 ,0 
joe slapped jose in face because he was angry. ,what was angry? ,joe was angry ,jose was angry ,joe ,0 ,joe ,jose ,0 ,0 
stephanie gave brandy flowers because she had a lot of them. ,what does she refer to? ,she refers to stephanie ,she refers to brandy ,stephanie ,0 ,stephanie ,brandy ,1 ,1 
stephanie gave brandy flowers because she had a lot of them. ,what had a lot of them? ,stephanie had a lot of them ,brandy had a lot of them ,stephanie ,0 ,stephanie ,brandy ,1 ,1 
stephanie gave brandy flowers because she was sick. ,what does she refer to? ,she refers to stephanie ,she refers to brandy ,brandy ,1 ,stephanie ,brandy ,1 ,1 
stephanie gave brandy flowers because she was sick. ,what was sick? ,stephanie was sick ,brandy was sick ,brandy ,1 ,stephanie ,brandy ,1 ,1 
team decided to cancel their relations with at&t corporate because they ran out of money. ,what does they refer to? ,they refers to team ,they refers to at&t corporate ,team ,0 ,team ,at&t corporate ,1 ,1 
team decided to cancel their relations with at&t corporate because they ran out of money. ,what ran out of money? ,team ran out of money ,at&t corporate ran out of money ,team ,0 ,team ,at&t corporate ,1 ,1 
team decided to cancel their relations with at&t corporate because they are arrogant. ,what does they refer to? ,they refers to team ,they refers to at&t corporate ,at&t corporate ,1 ,team ,at&t corporate ,1 ,1 
team decided to cancel their relations with at&t corporate because they are arrogant. ,what are arrogant? ,team are arrogant ,at&t corporate are arrogant ,at&t corporate ,1 ,team ,at&t corporate ,1 ,1 
john chose bill because he was choosing. ,what does he refer to? ,he refers to john ,he refers to bill ,john ,0 ,john ,bill ,0 ,1 
john chose bill because he was choosing. ,what was choosing? ,john was choosing ,bill was choosing ,john ,0 ,john ,bill ,0 ,1 
john chose bill because he was best choice. ,what does he refer to? ,he refers to john ,he refers to bill ,bill ,1 ,john ,bill ,0 ,1 
john chose bill because he was best choice. ,what was best choice? ,john was best choice ,bill was best choice ,bill ,1 ,john ,bill ,0 ,1 
john thanked bill because he had needed help. ,what does he refer to? ,he refers to john ,he refers to bill ,john ,0 ,john ,bill ,0 ,1 
john thanked bill because he had needed help. ,what had needed help? ,john had needed help ,bill had needed help ,john ,0 ,john ,bill ,0 ,1 
john thanked bill because he was helpful. ,what does he refer to? ,he refers to john ,he refers to bill ,bill ,1 ,john ,bill ,0 ,1 
john thanked bill because he was helpful. ,what was helpful? ,john was helpful ,bill was helpful ,bill ,1 ,john ,bill ,0 ,1 
john ridiculed bill because he liked to look down upon others. ,what does he refer to? ,he refers to john ,he refers to bill ,john ,0 ,john ,bill ,0 ,1 
john ridiculed bill because he liked to look down upon others. ,what liked to look down upon others? ,john liked to look down upon others ,bill liked to look down upon others ,john ,0 ,john ,bill ,0 ,1 
john ridiculed bill because he acted like a fool. ,what does he refer to? ,he refers to john ,he refers to bill ,bill ,1 ,john ,bill ,0 ,1 
john ridiculed bill because he acted like a fool. ,what acted like a fool? ,john acted like a fool ,bill acted like a fool ,bill ,1 ,john ,bill ,0 ,1 
john disliked bill and he did not pick him. ,what does he refer to? ,he refers to john ,he refers to bill ,john ,0 ,john ,bill ,0 ,1 
john disliked bill and he did not pick him. ,what did not pick him? ,john did not pick him ,bill did not pick him ,john ,0 ,john ,bill ,0 ,1 
"john disliked bill, but he did not know. ",what does he refer to? ,he refers to john ,he refers to bill ,bill ,1 ,john ,bill ,0 ,1 
"john disliked bill, but he did not know. ",what did not know? ,john did not know ,bill did not know ,bill ,1 ,john ,bill ,0 ,1 
godzilla will stomp all over tokyo if it rises from ocean. ,what does it refer to? ,it refers to godzilla ,it refers to tokyo ,godzilla ,0 ,godzilla ,tokyo ,1 ,1 
godzilla will stomp all over tokyo if it rises from ocean. ,what rises from ocean? ,godzilla rises from ocean ,tokyo rises from ocean ,godzilla ,0 ,godzilla ,tokyo ,1 ,1 
godzilla will stomp all over tokyo if it does not build better defenses. ,what does it refer to? ,it refers to godzilla ,it refers to tokyo ,tokyo ,1 ,godzilla ,tokyo ,1 ,1 
godzilla will stomp all over tokyo if it does not build better defenses. ,what does not build better defenses? ,godzilla does not build better defenses ,tokyo does not build better defenses ,tokyo ,1 ,godzilla ,tokyo ,1 ,1 
grandmother threw her granddaughter to her death because she felt jealous. ,what does she refer to? ,she refers to grandmother ,she refers to her granddaughter ,grandmother ,0 ,grandmother ,her granddaughter ,1 ,1 
grandmother threw her granddaughter to her death because she felt jealous. ,what felt jealous? ,grandmother felt jealous ,her granddaughter felt jealous ,grandmother ,0 ,grandmother ,her granddaughter ,1 ,1 
grandmother threw her granddaughter to her death because she would not stop screaming. ,what does she refer to? ,she refers to grandmother ,she refers to her granddaughter ,her granddaughter ,1 ,grandmother ,her granddaughter ,1 ,1 
grandmother threw her granddaughter to her death because she would not stop screaming. ,what would not stop screaming? ,grandmother would not stop screaming ,her granddaughter would not stop screaming ,her granddaughter ,1 ,grandmother ,her granddaughter ,1 ,1 
"bob marley shot sheriff, but he swears it was in self-defense. ",what does he refer to? ,he refers to bob marley ,he refers to sheriff ,bob marley ,0 ,bob marley ,sheriff ,1 ,1 
"bob marley shot sheriff, but he swears it was in self-defense. ",what swears it was in self-defense? ,bob marley swears it was in self-defense ,sheriff swears it was in self-defense ,bob marley ,0 ,bob marley ,sheriff ,1 ,1 
"bob marley shot sheriff, but he survived. ",what does he refer to? ,he refers to bob marley ,he refers to sheriff ,sheriff ,1 ,bob marley ,sheriff ,1 ,1 
"bob marley shot sheriff, but he survived. ",what survived? ,bob marley survived ,sheriff survived ,sheriff ,1 ,bob marley ,sheriff ,1 ,1 
mother punishes daughter because she was disobedient. ,what does she refer to? ,she refers to mother ,she refers to daughter ,daughter ,1 ,mother ,daughter ,1 ,1 
mother punishes daughter because she was disobedient. ,what was disobedient? ,mother was disobedient ,daughter was disobedient ,daughter ,1 ,mother ,daughter ,1 ,1 
mother punished daughter because she was provoked. ,what does she refer to? ,she refers to mother ,she refers to daughter ,mother ,0 ,mother ,daughter ,1 ,1 
mother punished daughter because she was provoked. ,what was provoked? ,mother was provoked ,daughter was provoked ,mother ,0 ,mother ,daughter ,1 ,1 
teachers failed students because they answered test incorrectly. ,what does they refer to? ,they refers to teachers ,they refers to students ,students ,1 ,teachers ,students ,1 ,1 
teachers failed students because they answered test incorrectly. ,what answered test incorrectly? ,teachers answered test incorrectly ,students answered test incorrectly ,students ,1 ,teachers ,students ,1 ,1 
teachers failed students because they graded test incorrectly. ,what does they refer to? ,they refers to teachers ,they refers to students ,teachers ,0 ,teachers ,students ,1 ,1 
