Question String,Pronoun,Split1,Split2,Option1,Option2 
Tobias is upset with William because he would not pay.,he,Tobias is upset with William because,he would not pay.,Tobias,William
Tobias is upset with William because he was mean.,he,Tobias is upset with William because,he was mean.,Tobias,William
Jean is making fun of Kyle because he won.,he,Jean is making fun of Kyle because,he won.,Jean,Kyle
Jean is making fun of Kyle because he lost.,he,Jean is making fun of Kyle because,he lost.,Jean,Kyle
Cheesecake is better than fruitcake because it tastes better.,it,Cheesecake is better than fruitcake because,it tastes better.,Cheesecake,fruitcake
Cheesecake is better than fruitcake because it is gross.,it,Cheesecake is better than fruitcake because,it is gross.,Cheesecake,fruitcake
The townspeople ate the unicorns because they were hungry.,they,The townspeople ate the unicorns because,they were hungry.,The townspeople,the unicorns
The townspeople ate the unicorns because they were delicious.,they,The townspeople ate the unicorns because,they were delicious.,The townspeople,the unicorns
The separatists launched a surprise attack against the empire so they could turn the tide of battle.,they,The separatists launched a surprise attack against the empire so,they could turn the tide of battle.,The separatists,the empire
The separatists launched a surprise attack against the empire so they could be caught off guard.,they,The separatists launched a surprise attack against the empire so,they could be caught off guard.,The separatists,the empire
Computers outsell laptops because they are more powerful.,they,Computers outsell laptops because,they are more powerful.,Computers,laptops
Computers outsell laptops because they are not worth the money.,they,Computers outsell laptops because,they are not worth the money.,Computers,laptops
Pat tried to talk to Jill but she was ignored.,she,Pat tried to talk to Jill but,she was ignored.,Pat,Jill
Pat tried to talk to Jill but she did not seem to hear it.,she,Pat tried to talk to Jill but,she did not seem to hear it.,Pat,Jill
Gold is more popular than black because it is shiny.,it,Gold is more popular than black because,it is shiny.,Gold,black
Gold is more popular than black because it does not sparkle.,it,Gold is more popular than black because,it does not sparkle.,Gold,black
Jill outran Kate because she was faster.,she,Jill outran Kate because,she was faster.,Jill,Kate
Jill outran Kate because she was slower.,she,Jill outran Kate because,she was slower.,Jill,Kate
Tim gave Marlo a pat on the back because he looked sad.,he,Tim gave Marlo a pat on the back because,he looked sad.,Tim,Marlo
Tim gave Marlo a pat on the back because he wanted to help.,he,Tim gave Marlo a pat on the back because,he wanted to help.,Tim,Marlo
Mike tried to follow Tom but he could not keep up.,he,Mike tried to follow Tom but,he could not keep up.,Mike,Tom
Mike tried to follow Tom but he was hard to see.,he,Mike tried to follow Tom but,he was hard to see.,Mike,Tom
Coins are better than dollars because they weigh more.,they,Coins are better than dollars because,they weigh more.,Coins,dollars
Coins are better than dollars because they wrinkle too easily.,they,Coins are better than dollars because,they wrinkle too easily.,Coins,dollars
George talked to Bill because he was nervous.,he,George talked to Bill because,he was nervous.,George,Bill
George talked to Bill because he had experience.,he,George talked to Bill because,he had experience.,George,Bill
Tom asked his son to drive so that he could sleep.,he,Tom asked his son to drive so that,he could sleep.,Tom,his son
Tom asked his son to drive so that he could get experience.,he,Tom asked his son to drive so that,he could get experience.,Tom,his son
Rosie beat Mary in Scrabble because she had a good vocabulary.,she,Rosie beat Mary in Scrabble because,she had a good vocabulary.,Rosie,Mary
Rosie beat Mary in Scrabble because she was bad at word games.,she,Rosie beat Mary in Scrabble because,she was bad at word games.,Rosie,Mary
Bush beat Gore because he rigged the election.,he,Bush beat Gore because,he rigged the election.,Bush,Gore
Bush beat Gore because he was unpopular.,he,Bush beat Gore because,he was unpopular.,Bush,Gore
The knife cut through the fence because it was sharp.,it,The knife cut through the fence because,it was sharp.,The knife,the fence
The knife cut through the fence because it was rusty.,it,The knife cut through the fence because,it was rusty.,The knife,the fence
Bob killed Vincent because he was stealing drugs.,he,Bob killed Vincent because,he was stealing drugs.,Bob,Vincent
Bob killed Vincent because he wanted to kill someone.,he,Bob killed Vincent because,he wanted to kill someone.,Bob,Vincent
Iphones are selling more than androids because they are trendy.,they,Iphones are selling more than androids because,they are trendy.,Iphones,androids
Iphones are selling more than androids because they are hard to use.,they,Iphones are selling more than androids because,they are hard to use.,Iphones,androids
Apple defeated Microsoft in the war because they were creative.,they,Apple defeated Microsoft in the war because,they were creative.,Apple,Microsoft
Apple defeated Microsoft in the war because they lack creativity.,they,Apple defeated Microsoft in the war because,they lack creativity.,Apple,Microsoft
The University declared holiday to students because they were worried about them.,they,The University declared holiday to students because,they were worried about them.,The University,students
The University declared holiday to students because they requested them.,they,The University declared holiday to students because,they requested them.,The University,students
Hill joined Obama because Bill suggested him.,him,Hill joined Obama because Bill suggested,him.,Hill,Obama
Hill joined Obama because Bill trusted him.,him,Hill joined Obama because Bill trusted,him.,Hill,Obama
Hitler conquered Alex in the war because everybody supported him.,him,Hitler conquered Alex in the war because everybody supported,him.,Hitler,Alex
Hitler conquered Alex in the war because nobody supported him.,him,Hitler conquered Alex in the war because nobody supported,him.,Hitler,Alex
Rocky won the match with Richard because he worked hard.,he,Rocky won the match with Richard because,he worked hard.,Rocky,Richard
Rocky won the match with Richard because he had no energy.,he,Rocky won the match with Richard because,he had no energy.,Rocky,Richard
Clinton wanted Obama to run for president because he would win.,he,Clinton wanted Obama to run for president because,he would win.,Clinton,Obama
Clinton wanted Obama to run for president because he could not win.,he,Clinton wanted Obama to run for president because,he could not win.,Clinton,Obama
Steve loved Bush but he did not tell.,he,Steve loved Bush but,he did not tell.,Steve,Bush
Steve loved Bush but he did not accept.,he,Steve loved Bush but,he did not accept.,Steve,Bush
"Gates is richer than Jobs, so he does a lot more charity work.",he,"Gates is richer than Jobs, so",he does a lot more charity work.,Gates,Jobs
"Gates is richer than Jobs, so he is not richest person.",he,"Gates is richer than Jobs, so",he is not richest person.,Gates,Jobs
"Seth is smarter than Sai, and consequently he got a better job.",he,"Seth is smarter than Sai, and consequently",he got a better job.,Seth,Sai
"Seth is a smarter than Sai, and consequently he did worse in the job interview.",he,"Seth is a smarter than Sai, and consequently",he did worse in the job interview.,Seth,Sai
Jacob misled Amen so David helped him.,him,Jacob misled Amen so David helped,him.,Jacob,Amen
Jacob misled Amen so David fired him.,him,Jacob misled Amen so David fired,him.,Jacob,Amen
Right after work Angelina took Sandy to the park because she knew the place.,she,Right after work Angelina took Sandy to the park because,she knew the place.,Angelina,Sandy
Right after work Angelina took Sandy to the park because she wanted to go to that place.,she,Right after work Angelina took Sandy to the park because,she wanted to go to that place.,Angelina,Sandy
Claudia lost all her money to Valarie because she is really smart.,she,Claudia lost all her money to Valarie because,she is really smart.,Claudia,Valarie
Claudia lost all her money to Valarie because she is stupid.,she,Claudia lost all her money to Valarie because,she is stupid.,Claudia,Valarie
Mike helped Jack with his assignment because he felt like doing so.,he,Mike,helped Jack with his assignment because he felt like doing so.,Mike,Jack
Mike helped Jack with his assignment because he politely asked him to.,he,Mike,helped Jack with his assignment because he politely asked him to.,Mike,Jack
Dad yelled at Sam because he did not go to school.,he,Dad yelled at Sam because,he did not go to school.,Dad,Sam
Dad yelled at Sam because he was mad.,he,Dad yelled at Sam because,he was mad.,Dad,Sam
Janice bought Kenda a car because she needed one.,she,Janice bought Kenda a car because,she needed one.,Janice,Kenda
Janice bought Kenda a car because she has money to spend.,she,Janice bought Kenda a car because,she has money to spend.,Janice,Kenda
The mouse ran from the cat all the way to the kitchen because it was scared.,it,The mouse ran from the cat all the way to the kitchen because,it was scared.,The mouse,the cat
The mouse ran from the cat all the way to the kitchen because it chased him.,it,The mouse ran from the cat all the way to the kitchen because,it chased him.,The mouse,the cat
John picked Bill because he was in need of talent.,he,John picked Bill because,he was in need of talent.,John,Bill
John picked Bill because he was talented.,he,John picked Bill because,he was talented.,John,Bill
John bored Bill because he was boring.,he,John bored Bill because,he was boring.,John,Bill
John bored Bill because he was easily bored.,he,John bored Bill because,he was easily bored.,John,Bill
John appreciated Bill because he had been in need.,he,John appreciated Bill because,he had been in need.,John,Bill
John ridiculed Bill because he was a big help.,he,John ridiculed Bill because,he was a big help.,John,Bill
John tricked Bill because he was mischievous.,he,John tricked Bill because,he was mischievous.,John,Bill
John tricked Bill because he was slow-witted.,he,John tricked Bill because,he was slow-witted.,John,Bill
John nicked Bill because he needed money.,he,John nicked Bill because,he needed money.,John,Bill
John nicked Bill because he was gullible.,he,John nicked Bill because,he was gullible.,John,Bill
John gave a large sum of money to Bill because he had extra.,he,John gave a large sum of money to Bill because,he had extra.,John,Bill
John gave a large sum of money to Bill because he needed a loan.,he,John gave a large sum of money to Bill because,he needed a loan.,John,Bill
John kicked Bill because he was angry.,he,John kicked Bill because,he was angry.,John,Bill
John kicked Bill because he was being mean.,he,John kicked Bill because,he was being mean.,John,Bill
John remembered Bill because he had had been thinking about wicker chairs.,he,John remembered Bill because,he had had been thinking about wicker chairs.,John,Bill
John remembered Bill because he was memorable.,he,John remembered Bill because,he was memorable.,John,Bill
"The couple took the car to the shop on Tuesday, but they will not charge until next week.",they,"The couple took the car to the shop on Tuesday, but",they will not charge until next week.,The couple,the shop
"The couple took the car to the shop on Tuesday, but they will not have to pay until next week.",they,"The couple took the car to the shop on Tuesday, but",they will not have to pay until next week.,The couple,the shop
"Chuck Norris can beat any man in a fight, unless he is invincible.",he,"Chuck Norris can beat any man in a fight, unless",he is invincible.,Chuck Norris,any man
"Chuck Norris can beat any man in a fight, unless he is tied up and blindfolded.",he,"Chuck Norris can beat any man in a fight, unless",he is tied up and blindfolded.,Chuck Norris,any man
I think the referee treats Vick like a running back because he has distinct style of play.,he,I think the referee treats Vick like a running back because,he has distinct style of play.,the referee,Vick
I think the referee treats Vick like a running back because he does not understand the game.,he,I think the referee treats Vick like a running back because,he does not understand the game.,the referee,Vick
"The mouse sought out the wise owl's advice, and she promptly realized her mistake.",she,"The mouse sought out the wise owl's advice, and",she promptly realized her mistake.,The mouse,the wise owl
"The mouse sought out the wise owl's advice, and she promptly accepted the free meal.",she,"The mouse sought out the wise owl's advice, and",she promptly accepted the free meal.,The mouse,the wise owl
The kidnapper will not return Trent Reznor until he is given a private performance.,he,The kidnapper will not return Trent Reznor until,he is given a private performance.,The kidnapper,Trent Reznor
The kidnapper will not return Trent Reznor until he agrees to a private performance.,he,The kidnapper will not return Trent Reznor until,he agrees to a private performance.,The kidnapper,Trent Reznor
The authorities detained the hikers because they were trespassing.,they,The authorities detained the hikers because,they were trespassing.,The authorities,the hikers
The authorities detained the hikers because they were prejudiced.,they,The authorities detained the hikers because,they were prejudiced.,The authorities,the hikers
"Sarah tried to ignore the elephant in the room, but she could not bear the awkwardness.",she,"Sarah tried to ignore the elephant in the room, but",she could not bear the awkwardness.,Sarah,the elephant in the room
"Sarah tried to ignore the elephant in the room, but she would not stop trumpeting.",she,"Sarah tried to ignore the elephant in the room, but",she would not stop trumpeting.,Sarah,the elephant in the room
"Mark almost made a deal with Slimy Jack, but backed down when the man was caught embezzling.",the man,"Mark almost made a deal with Slimy Jack, but backed down when",the man was caught embezzling.,Mark,Slimy Jack
"Mark almost made a deal with Slimy Jack, but backed down when the man thought of his reputation for honesty.",the man,"Mark almost made a deal with Slimy Jack, but backed down when",the man thought of his reputation for honesty.,Mark,Slimy Jack
"The robots tried to negotiate a cease-fire with the squirrel-men, but negotiations broke down when they sabotaged the microchip processing facility.",they,"The robots tried to negotiate a cease-fire with the squirrel-men, but negotiations broke down when",they sabotaged the microchip processing facility.,The robots,the squirrel-men
"The robots tried to negotiate a cease-fire with the squirrel-men, but negotiations broke down when they sabotaged the acorn processing facility.",they,"The robots tried to negotiate a cease-fire with the squirrel-men, but negotiations broke down when",they sabotaged the acorn processing facility.,The robots,the squirrel-men
Jesus appeared to Thomas in order to show that he had risen.,he,Jesus appeared to Thomas in order to show that,he had risen.,Jesus,Thomas
Jesus appeared to Thomas in order to show that he had unfounded doubts.,he,Jesus appeared to Thomas in order to show that,he had unfounded doubts.,Jesus,Thomas
The employees crushed the boxes because they were working.,they,The employees crushed the boxes because,they were working.,The employees,the boxes
The employees crushed the boxes because they were empty.,they,The employees crushed the boxes because,they were empty.,The employees,the boxes
The wine busted the cask because it was too small.,it,The wine busted the cask because,it was too small.,The wine,the cask
The wine busted the cask because it was too carbonated.,it,The wine busted the cask because,it was too carbonated.,The wine,the cask
Tom gave James a coat because he was cold.,he,Tom gave James a coat because,he was cold.,Tom,James
Tom gave James a coat because he was generous.,he,Tom gave James a coat because,he was generous.,Tom,James
The veterans defeated the newcomers because they were more experienced.,they,The veterans defeated the newcomers because,they were more experienced.,The veterans,the newcomers
The veterans defeated the newcomers because they were less experienced.,they,The veterans defeated the newcomers because,they were less experienced.,The veterans,the newcomers
The sailors fell off the boats because they were capsizing.,they,The sailors fell off the boats because,they were capsizing.,The sailors,the boats
The sailors fell off the boats because they were drunk.,they,The sailors fell off the boats because,they were drunk.,The sailors,the boats
The children played games because they were bored.,they,The children played games because,they were bored.,The children,games
The children played games because they were entertaining.,they,The children played games because,they were entertaining.,The children,games
John fired Dave because he had too many absences.,he,John fired Dave because,he had too many absences.,John,Dave
John fired Dave because he had too many employees.,he,John fired Dave because,he had too many employees.,John,Dave
The police arrested the rioters because they were preventing trouble.,they,The police arrested the rioters because,they were preventing trouble.,The police,the rioters
The police arrested the rioters because they were causing trouble.,they,The police arrested the rioters because,they were causing trouble.,The police,the rioters
The students read the books because they were learning.,they,The students read the books because,they were learning.,The students,the books
The students read the books because they were interesting.,they,The students read the books because,they were interesting.,The students,the books
The lumberjacks cut the trees so they could be paid.,they,The lumberjacks cut the trees so,they could be paid.,The lumberjacks,the trees
The lumberjacks cut the trees so they could be sold.,they,The lumberjacks cut the trees so,they could be sold.,The lumberjacks,the trees
The Centurion lent Doctor Who his ear since he had pledged his loyalty.,he,The Centurion lent Doctor Who his ear since,he had pledged his loyalty.,The Centurion,Doctor Who
The Centurion lent Doctor Who his ear since he had saved the Centurion's life.,he,The Centurion lent Doctor Who his ear since,he had saved the Centurion's life.,The Centurion,Doctor Who
Tom likes John because he has a cool name.,he,Tom likes John because,he has a cool name.,Tom,John
Tom likes John because he likes people with cool names.,he,Tom likes John because,he likes people with cool names.,Tom,John
The listener did not complain about the singer because he was autotuned.,he,The listener did not complain about the singer because,he was autotuned.,The listener,the singer
The listener did not complain about the singer because he was tone deaf.,he,The listener did not complain about the singer because,he was tone deaf.,The listener,the singer
The musicians performed at two venues because neither of them paid much.,them,The musicians performed at two venues because neither of,them paid much.,The musicians,two venues
The musicians performed at two venues because neither of them got paid much.,them,The musicians performed at two venues because neither of,them got paid much.,The musicians,two venues
"The product fair showed Office 365, and it had a lot of attendees.",it,"The product fair showed Office 365, and",it had a lot of attendees.,The product fair,Office 365
"The product fair showed Office 365, and it showed off with a game.",it,"The product fair showed Office 365, and",it showed off with a game.,The product fair,Office 365
Stephen King called Spielberg so that he could ask for some money.,he,Stephen King called Spielberg so that,he could ask for some money.,Stephen King,Spielberg
Stephen King called Spielberg so that he could call him back.,he,Stephen King called Spielberg so that,he could call him back.,Stephen King,Spielberg
Lions love gazelles because they eat them.,they,Lions love gazelles because,they eat them.,Lions,gazelles
Lions love gazelles because they are delicious.,they,Lions love gazelles because,they are delicious.,Lions,gazelles
Steve Ballmer took over as CEO of Microsoft after Bill Gates because he retired.,he,Steve Ballmer took over as CEO of Microsoft after Bill Gates because,he retired.,Steve Ballmer,Bill Gates
Steve Ballmer took over as CEO of Microsoft after Bill Gates because he was a unicorn.,he,Steve Ballmer took over as CEO of Microsoft after Bill Gates because,he was a unicorn.,Steve Ballmer,Bill Gates
Windows is worse than Linux because it has a lot of viruses.,it,Windows is worse than Linux because,it has a lot of viruses.,Windows,Linux
Windows is worse than Linux because it is open source.,it,Windows is worse than Linux because,it is open source.,Windows,Linux
The boy lent his friend a pencil because the teacher told him to share.,him,The boy lent his friend a pencil because the teacher told,him to share.,The boy,his friend
The boy lent his friend a pencil because the teacher told him to write.,him,The boy lent his friend a pencil because the teacher told,him to write.,The boy,his friend
God created Adam for good but he could not control his creation.,he,God created Adam for good but,he could not control his creation.,God,Adam
God created Adam for good but he could not control his temptation.,he,God created Adam for good but,he could not control his temptation.,God,Adam
The boy laughed at his friend because he heard the joke.,he,The boy laughed at his friend because,he heard the joke.,The boy,his friend
The boy laughed at his friend because he made the joke.,he,The boy laughed at his friend because,he made the joke.,The boy,his friend
The cops maced the protesters because they blindly follow orders.,they,The cops maced the protesters because,they blindly follow orders.,The cops,the protesters
The cops maced the protesters because they do not blindly follow orders.,they,The cops maced the protesters because,they do not blindly follow orders.,The cops,the protesters
"The boulder dropped into the river, but it continued to roll.",it,"The boulder dropped into the river, but",it continued to roll.,The boulder,the river
"The boulder dropped into the river, but it continued to flow.",it,"The boulder dropped into the river, but",it continued to flow.,The boulder,the river
The gun owner fired at the burglar because he stole items.,he,The gun owner fired at the burglar because,he stole items.,The gun owner,the burglar
The gun owner fired at the burglar because he saw a shadow.,he,The gun owner fired at the burglar because,he saw a shadow.,The gun owner,the burglar
Jerrica saw the guard as she snuck past.,she,Jerrica saw the guard as,she snuck past.,Jerrica,the guard
Jerrica saw the guard as she marched past.,she,Jerrica saw the guard as,she marched past.,Jerrica,the guard
The home team lost to the Giants because they were better players.,they,The home team lost to the Giants because,they were better players.,The home team,the Giants
The home team lost to the Giants because they were unable to pass.,they,The home team lost to the Giants because,they were unable to pass.,The home team,the Giants
My parents gave the neighbors tickets to Six Flags since they needed them.,they,My parents gave the neighbors tickets to Six Flags since,they needed them.,My parents,the neighbors
My parents gave the neighbors tickets to Six Flags since they had extras.,they,My parents gave the neighbors tickets to Six Flags since,they had extras.,My parents,the neighbors
The police called headquarters for help and they refused.,they,The police called headquarters for help and,they refused.,The police,headquarters
The police called headquarters for help and they continued to fight the criminals.,they,The police called headquarters for help and,they continued to fight the criminals.,The police,headquarters
The advisor told the President that he should declare war.,he,The advisor told the President that,he should declare war.,The advisor,the President
The advisor told the President that he was resigning.,he,The advisor told the President that,he was resigning.,The advisor,the President
The elephant trampled a fish and it died.,it,The elephant trampled a fish and,it died.,The elephant,a fish
The elephant trampled a fish and it continued on its way.,it,The elephant trampled a fish and,it continued on its way.,The elephant,a fish
The children egged the neighbors because they had no candy.,they,The children egged the neighbors because,they had no candy.,The children,the neighbors
The children egged the neighbors because they had no dignity.,they,The children egged the neighbors because,they had no dignity.,The children,the neighbors
The model frowned at her manager because she forgot to call.,she,The model frowned at her manager because,she forgot to call.,The model,her manager
The model frowned at her manager because she was sad.,she,The model frowned at her manager because,she was sad.,The model,her manager
William enforced a mandatory choir practice for Ryan since he is struggling with his singing abilities.,he,William enforced a mandatory choir practice for Ryan since,he is struggling with his singing abilities.,William,Ryan
William enforced a mandatory choir practice for Ryan since he is a mean teacher.,he,William enforced a mandatory choir practice for Ryan since,he is a mean teacher.,William,Ryan
The counselor gave the student advice because he is on the wrong track in life.,he,The counselor gave the student advice because,he is on the wrong track in life.,The counselor,the student
The counselor gave the student advice because he feels obligated to help him.,he,The counselor gave the student advice because,he feels obligated to help him.,The counselor,the student
Ryan won the presidency against Tom because he feels he was the better candidate.,he,Ryan won the presidency against Tom because,he feels he was the better candidate.,Ryan,Tom
Ryan won the presidency against Tom because he was not fit for office.,he,Ryan won the presidency against Tom because,he was not fit for office.,Ryan,Tom
Jack raced past Dan since his car is much faster.,his,Jack raced past Dan since,his car is much faster.,Jack,Dan
Jack raced past Dan since his car is old.,his,Jack raced past Dan since,his car is old.,Jack,Dan
The mother encouraged her daughter to sing a difficult song so she would be challenged.,she,The mother encouraged her daughter to sing a difficult song so,she would be challenged.,The mother,her daughter
The mother encouraged her daughter to sing a difficult song so she could see her become better.,she,The mother encouraged her daughter to sing a difficult song so,she could see her become better.,The mother,her daughter
John visited his son so he could spent time with him.,he,John visited his son so,he could spent time with him.,John,his son
John visited his son so he would feel loved.,he,John visited his son so,he would feel loved.,John,his son
The pilots saved the passengers because they had a civic duty.,they,The pilots saved the passengers because,they had a civic duty.,The pilots,the passengers
The pilots saved the passengers because they begged them to.,they,The pilots saved the passengers because,they begged them to.,The pilots,the passengers
Kurt sang to Jon since he wanted to be the lead singer.,he,Kurt sang to Jon since,he wanted to be the lead singer.,Kurt,Jon
Kurt sang to Jon since he was the judge.,he,Kurt sang to Jon since,he was the judge.,Kurt,Jon
"Stacy lied about partying to her mom, but she found out.",she,"Stacy lied about partying to her mom, but",she found out.,Stacy,her mom
"Stacy lied about partying to her mom, but she feared that she may be caught.",she,"Stacy lied about partying to her mom, but",she feared that she may be caught.,Stacy,her mom
Janet Jackson is more popular than Latoya Jackson since she is the better performer.,she,Janet Jackson is more popular than Latoya Jackson since,she is the better performer.,Janet Jackson,Latoya Jackson
Janet Jackson is more popular than Latoya Jackson since she does not have as many followers.,she,Janet Jackson is more popular than Latoya Jackson since,she does not have as many followers.,Janet Jackson,Latoya Jackson
Stephen Colbert is funnier than John Stewart since his comedy is better.,his,Stephen Colbert is funnier than John Stewart since,his comedy is better.,Stephen Colbert,John Stewart
Stephen Colbert is funnier than John Stewart since his show has less viewers.,his,Stephen Colbert is funnier than John Stewart since,his show has less viewers.,Stephen Colbert,John Stewart
Rick Davis campaigned for John McCain since he could best support him in office.,he,Rick Davis campaigned for John McCain since,he could best support him in office.,Rick Davis,John McCain
Rick Davis campaigned for John McCain since he was the best man for office.,he,Rick Davis campaigned for John McCain since,he was the best man for office.,Rick Davis,John McCain
Simon Cowell makes fun of Ryan Seacrest since he feels superior.,he,Simon Cowell makes fun of Ryan Seacrest since,he feels superior.,Simon Cowell,Ryan Seacrest
Simon Cowell makes fun of Ryan Seacrest since he is viewed as feminine.,he,Simon Cowell makes fun of Ryan Seacrest since,he is viewed as feminine.,Simon Cowell,Ryan Seacrest
The poor steal from the rich because they need more money.,they,The poor steal from the rich because,they need more money.,The poor,the rich
The poor steal from the rich because they possess more items of value.,they,The poor steal from the rich because,they possess more items of value.,The poor,the rich
The big brother always beats the little brother at board games since he was older and wiser.,he,The big brother always beats the little brother at board games since,he was older and wiser.,The big brother,the little brother
The big brother always beats the little brother at board games since he is not very good at games.,he,The big brother always beats the little brother at board games since,he is not very good at games.,The big brother,the little brother
The salesman sold a hot tub to the customer because he was looking for something to use and soak in.,he,The salesman sold a hot tub to the customer because,he was looking for something to use and soak in.,The salesman,the customer
The salesman sold a hot tub to the customer because he was trying to sell his products.,he,The salesman sold a hot tub to the customer because,he was trying to sell his products.,The salesman,the customer
Jennifer Aniston does not like Angelina Jolie because she stole her boyfriend.,she,Jennifer Aniston does not like Angelina Jolie because,she stole her boyfriend.,Jennifer Aniston,Angelina Jolie
Jennifer Aniston does not like Angelina Jolie because she is jealous of her relationship.,she,Jennifer Aniston does not like Angelina Jolie because,she is jealous of her relationship.,Jennifer Aniston,Angelina Jolie
The US army fought the Taliban because they are trying to prevent terrorism.,they,The US army fought the Taliban because,they are trying to prevent terrorism.,The US army,the Taliban
The US army fought the Taliban because they are the root of much terrorism.,they,The US army fought the Taliban because,they are the root of much terrorism.,The US army,the Taliban
Terranova has better ratings than House since they have attracted more new audiences.,they,Terranova has better ratings than House since,they have attracted more new audiences.,Terranova,House
Terranova has better ratings than House since they have a small target audience.,they,Terranova has better ratings than House since,they have a small target audience.,Terranova,House
"Neil Patrick Harris is a better singer than Dave Chappelle,since he does not have time to become a good singer due to his comedy career.",he,"Neil Patrick Harris is a better singer than Dave Chappelle,since",he does not have time to become a good singer due to his comedy career.,Neil Patrick Harris,Dave Chappelle
"Neil Patrick Harris is a better singer than Dave Chappelle, since he had experience from Broadway.",he,"Neil Patrick Harris is a better singer than Dave Chappelle, since",he had experience from Broadway.,Neil Patrick Harris,Dave Chappelle
"The Philadelphia Eagles lost to the St. Louis Rams, but it was because they had the home field advantage.",they,"The Philadelphia Eagles lost to the St. Louis Rams, but it was because",they had the home field advantage.,Philadelphia Eagles,St. Louis Rams
"The Philadelphia Eagles lost to the St. Louis Rams, but it was because they were tired from traveling to the game.",they,"The Philadelphia Eagles lost to the St. Louis Rams, but it was because",they were tired from traveling to the game.,Philadelphia Eagles,St. Louis Rams
"The AirForce is more appealing than the Army, but they require higher qualifications.",they,"The AirForce is more appealing than the Army, but",they require higher qualifications.,The AirForce,the Army
"The AirForce is more appealing than the Army, but they are just as important.",they,"The AirForce is more appealing than the Army, but",they are just as important.,The AirForce,the Army
Dogs are friendlier than cats since they enjoy the company of people.,they,Dogs are friendlier than cats since,they enjoy the company of people.,Dogs,cats
Dogs are friendlier than cats since they would rather be alone.,they,Dogs are friendlier than cats since,they would rather be alone.,Dogs,cats
Hybrid cars produce less pollution than diesel trucks because they use less gas and more electricity.,they,Hybrid cars produce less pollution than diesel trucks because,they use less gas and more electricity.,Hybrid cars,diesel trucks
Hybrid cars produce less pollution than diesel trucks because they use pure gasoline.,they,Hybrid cars produce less pollution than diesel trucks because,they use pure gasoline.,Hybrid cars,diesel trucks
Fry's Electronics is more successful than Comp USA since they price their products much lower.,they,Fry's Electronics is more successful than Comp USA since,they price their products much lower.,Fry's Electronics,Comp USA
Fry's Electronics is more successful than Comp USA since they cannot compete competitively in price.,they,Fry's Electronics is more successful than Comp USA since,they cannot compete competitively in price.,Fry's Electronics,Comp USA
"Ryan has much less hair than Gary, so he does not go out in public without a hat.",he,"Ryan has much less hair than Gary, so",he does not go out in public without a hat.,Ryan,Gary
"Ryan has much less hair than Gary, so he has to cut his hair constantly.",he,"Ryan has much less hair than Gary, so",he has to cut his hair constantly.,Ryan,Gary
Blue Thunder scored more goals than Green Hogs since they are the better team.,they,Blue Thunder scored more goals than Green Hogs since,they are the better team.,Blue Thunder,Green Hogs
Blue Thunder scored more goals than Green Hogs since they are not very good at the game.,they,Blue Thunder scored more goals than Green Hogs since,they are not very good at the game.,Blue Thunder,Green Hogs
Joe earned more money than Rob on the Price is Right because he was able to guess more letters correctly.,he,Joe earned more money than Rob on the Price is Right because,he was able to guess more letters correctly.,Joe,Rob
Joe earned more money than Rob on the Price is Right because he kept guessing wrong.,he,Joe earned more money than Rob on the Price is Right because,he kept guessing wrong.,Joe,Rob
KFC sells better than Popeyes since they have better chicken.,they,KFC sells better than Popeyes since,they have better chicken.,KFC,Popeyes
KFC sells better than Popeyes since they use worse ingredients in their chicken.,they,KFC sells better than Popeyes since,they use worse ingredients in their chicken.,KFC,Popeyes
Google is catching up to Firefox in the percentage of users because they have a faster and more reliable browser.,they,Google is catching up to Firefox in the percentage of users because,they have a faster and more reliable browser.,Google,Firefox
"Google is catching up to Firefox in the percentage of users, because they have been getting too bulky and slow.",they,"Google is catching up to Firefox in the percentage of users, because",they have been getting too bulky and slow.,Google,Firefox
The new knives are better than the old knives since they are much sharper.,they,The new knives are better than the old knives since,they are much sharper.,new knives,old knives
The new knives are better than the old knives since they are losing their sharp edge due to constant use.,they,The new knives are better than the old knives since,they are losing their sharp edge due to constant use.,new knives,old knives
The Union defeated the Confederates in the Civil war since they had better resources and numbers.,they,The Union defeated the Confederates in the Civil war since,they had better resources and numbers.,The Union,the Confederates
The Union defeated the Confederates in the Civil war since they did not have the resources to continue the fight.,they,The Union defeated the Confederates in the Civil war since,they did not have the resources to continue the fight.,The Union,the Confederates
Will Smith got his son in a movie since he has much influence in the movie scene.,he,Will Smith got his son in a movie since,he has much influence in the movie scene.,Will Smith,his son
Will Smith got his son in a movie since he is the son of a famous movie actor.,he,Will Smith got his son in a movie since,he is the son of a famous movie actor.,Will Smith,his son
"Horses are faster at short distances than camels, but they cannot trek as far.",they,"Horses are faster at short distances than camels, but",they cannot trek as far.,Horses,camels
"Horses are faster at short distances than camels, but they can travel much further distances.",they,"Horses are faster at short distances than camels, but",they can travel much further distances.,Horses,camels
T-Mobile's data plan is better than AT&T's data plan since it does not cap data usage.,it,T-Mobile's data plan is better than AT&T's data plan since,it does not cap data usage.,T-Mobile,AT&T
T-Mobile's data plan is better than AT&T's data plan since it throttles user for excessive data usage.,it,T-Mobile's data plan is better than AT&T's data plan since,it throttles user for excessive data usage.,T-Mobile,AT&T
Nicole was angry at Sammie since she lied to her.,she,Nicole was angry at Sammie since,she lied to her.,Nicole,Sammie
