Knowledge Base,Question,Option 1,Option 2,Actual Answer,Bit Representation,Opt1,Opt2,Opt1Gender,Opt2Gender
"cat was lying by mouse hole waiting for mouse, but it was too impatient. ",what was too impatient.? ,cat was too impatient. ,mouse was too impatient. ,cat ,0 ,cat ,mouse ,1 ,1 
"cat was lying by mouse hole waiting for mouse, but it was too cautious. ",what does it refer to? ,it refers to cat ,it refers to mouse ,mouse ,1 ,cat ,mouse ,1 ,1 
"cat was lying by mouse hole waiting for mouse, but it was too cautious. ",what was too cautious.? ,cat was too cautious. ,mouse was too cautious. ,mouse ,1 ,cat ,mouse ,1 ,1 
anne gave birth to a daughter last month. she is a very charming woman. ,what does she refer to? ,she refers to anne ,she refers to anne's daughter ,anne ,0 ,anne ,anne's daughter ,1 ,1 
anne gave birth to a daughter last month. she is a very charming woman. ,what is a very charming woman.? ,anne is a very charming woman. ,anne's daughter is a very charming woman. ,anne ,0 ,anne ,anne's daughter ,1 ,1 
anne gave birth to a daughter last month. she is a very charming baby. ,what does she refer to? ,she refers to anne ,she refers to anne's daughter ,anne's daughter ,1 ,anne ,anne's daughter ,1 ,1 
anne gave birth to a daughter last month. she is a very charming baby. ,what is a very charming baby.? ,anne is a very charming baby. ,anne's daughter is a very charming baby. ,anne's daughter ,1 ,anne ,anne's daughter ,1 ,1 
"alice tried frantically to stop her daughter from chatting at party, leaving us to wonder why she was behaving so strangely. ",what does she refer to? ,she refers to alice ,she refers to alice's daughter ,alice ,0 ,alice ,alice's daughter ,1 ,1 
"alice tried frantically to stop her daughter from chatting at party, leaving us to wonder why she was behaving so strangely. ",what was behaving so strangely.? ,alice was behaving so strangely. ,alice's daughter was behaving so strangely. ,alice ,0 ,alice ,alice's daughter ,1 ,1 
"alice tried frantically to stop her daughter from barking at party, leaving us to wonder why she was behaving so strangely. ",what does she refer to? ,she refers to alice ,she refers to alice's daughter ,alice's daughter ,1 ,alice ,alice's daughter ,1 ,1 
"alice tried frantically to stop her daughter from barking at party, leaving us to wonder why she was behaving so strangely. ",what was behaving so strangely.? ,alice was behaving so strangely. ,alice's daughter was behaving so strangely. ,alice's daughter ,1 ,alice ,alice's daughter ,1 ,1 
"i saw jim yelling at some guy in a military uniform with a huge red beard. i don't know why he was, but he looked very unhappy. ",what does he refer to? ,he refers to jim ,he refers to guy in uniform ,jim ,0 ,jim ,guy in uniform ,0 ,1 
"i saw jim yelling at some guy in a military uniform with a huge red beard. i don't know why he was, but he looked very unhappy. ",whaty he was? ,jimy he was ,guy in uniformy he was ,jim ,0 ,jim ,guy in uniform ,0 ,1 
"i saw jim yelling at some guy in a military uniform with a huge red beard. i don't know who he was, but he looked very unhappy. ",what does he refer to? ,he refers to jim ,he refers to guy in uniform ,guy in uniform ,1 ,jim ,guy in uniform ,0 ,1 
"i saw jim yelling at some guy in a military uniform with a huge red beard. i don't know who he was, but he looked very unhappy. ",whato he was? ,jimo he was ,guy in uniformo he was ,guy in uniform ,1 ,jim ,guy in uniform ,0 ,1 
fish ate worm. it was hungry. ,what does it refer to? ,it refers to fish ,it refers to worm ,fish ,0 ,fish ,worm ,1 ,1 
fish ate worm. it was hungry. ,what was hungry.? ,fish was hungry. ,worm was hungry. ,fish ,0 ,fish ,worm ,1 ,1 
fish ate worm. it was tasty. ,what does it refer to? ,it refers to fish ,it refers to worm ,worm ,1 ,fish ,worm ,1 ,1 
fish ate worm. it was tasty. ,what was tasty.? ,fish was tasty. ,worm was tasty. ,worm ,1 ,fish ,worm ,1 ,1 
"i was trying to open lock with key, but someone had filled keyhole with chewing gum, and i couldn't get it in. ",what does it refer to? ,it refers to key ,it refers to chewing gum ,key ,0 ,key ,chewing gum ,1 ,1 
"i was trying to open lock with key, but someone had filled keyhole with chewing gum, and i couldn't get it in. ",whatcouldn't get it in.? ,keycouldn't get it in. ,chewing gumcouldn't get it in. ,key ,0 ,key ,chewing gum ,1 ,1 
"i was trying to open lock with key, but someone had filled keyhole with chewing gum, and i couldn't get it out. ",what does it refer to? ,it refers to key ,it refers to chewing gum ,chewing gum ,1 ,key ,chewing gum ,1 ,1 
"i was trying to open lock with key, but someone had filled keyhole with chewing gum, and i couldn't get it out. ",whatcouldn't get it out.? ,keycouldn't get it out. ,chewing gumcouldn't get it out. ,chewing gum ,1 ,key ,chewing gum ,1 ,1 
"dog chased cat, which ran up a tree. it waited at bottom. ",what does it refer to? ,it refers to dog ,it refers to cat ,dog ,0 ,dog ,cat ,1 ,1 
"dog chased cat, which ran up a tree. it waited at bottom. ",what waited? ,dog waited ,cat waited ,dog ,0 ,dog ,cat ,1 ,1 
"dog chased cat, which ran up a tree. it waited at top. ",what does it refer to? ,it refers to dog ,it refers to cat ,cat ,1 ,dog ,cat ,1 ,1 
"dog chased cat, which ran up a tree. it waited at top. ",what waited? ,dog waited ,cat waited ,cat ,1 ,dog ,cat ,1 ,1 
"in storm, tree fell down and crashed through roof of my house. now, i have to get it removed. ",what does it refer to? ,it refers to tree ,it refers to roof ,tree ,0 ,tree ,roof ,1 ,1 
"in storm, tree fell down and crashed through roof of my house. now, i have to get it removed. ",whatt it removed.? ,treet it removed. ,rooft it removed. ,tree ,0 ,tree ,roof ,1 ,1 
"in storm, tree fell down and crashed through roof of my house. now, i have to get it repaired. ",what does it refer to? ,it refers to tree ,it refers to roof ,roof ,1 ,tree ,roof ,1 ,1 
"in storm, tree fell down and crashed through roof of my house. now, i have to get it repaired. ",whatt it repaired.? ,treet it repaired. ,rooft it repaired. ,roof ,1 ,tree ,roof ,1 ,1 
customer walked into bank and stabbed one of tellers. he was immediately taken to police station. ,what does he refer to? ,he refers to customer ,he refers to teller ,customer ,0 ,customer ,teller ,1 ,1 
customer walked into bank and stabbed one of tellers. he was immediately taken to police station. ,what was immediately taken? ,customer was immediately taken ,teller was immediately taken ,customer ,0 ,customer ,teller ,1 ,1 
customer walked into bank and stabbed one of tellers. he was immediately taken to hospital. ,what does he refer to? ,he refers to customer ,he refers to teller ,teller ,1 ,customer ,teller ,1 ,1 
customer walked into bank and stabbed one of tellers. he was immediately taken to hospital. ,what was immediately taken? ,customer was immediately taken ,teller was immediately taken ,teller ,1 ,customer ,teller ,1 ,1 
john was doing research in library when he heard a man humming and whistling. he was very annoyed. ,what does he refer to? ,he refers to john ,he refers to man ,john ,0 ,john ,man ,0 ,1 
john was doing research in library when he heard a man humming and whistling. he was very annoyed. ,what was very annoyed.? ,john was very annoyed. ,man was very annoyed. ,john ,0 ,john ,man ,0 ,1 
john was doing research in library when he heard a man humming and whistling. he was very annoying. ,what does he refer to? ,he refers to john ,he refers to man ,man ,1 ,john ,man ,0 ,1 
john was doing research in library when he heard a man humming and whistling. he was very annoying. ,what was very annoying.? ,john was very annoying. ,man was very annoying. ,man ,1 ,john ,man ,0 ,1 
john was jogging through park when he saw a man juggling watermelons. he was very impressed. ,what does he refer to? ,he refers to john ,he refers to juggler ,john ,0 ,john ,juggler ,0 ,1 
john was jogging through park when he saw a man juggling watermelons. he was very impressed. ,what was very impressed.? ,john was very impressed. ,juggler was very impressed. ,john ,0 ,john ,juggler ,0 ,1 
john was jogging through park when he saw a man juggling watermelons. he was very impressive. ,what does he refer to? ,he refers to john ,he refers to juggler ,juggler ,1 ,john ,juggler ,0 ,1 
john was jogging through park when he saw a man juggling watermelons. he was very impressive. ,what was very impressive.? ,john was very impressive. ,juggler was very impressive. ,juggler ,1 ,john ,juggler ,0 ,1 
bob collapsed on sidewalk. soon he saw carl coming to help. he was very ill. ,what does he refer to? ,he refers to bob ,he refers to carl ,bob ,0 ,bob ,carl ,0 ,0 
bob collapsed on sidewalk. soon he saw carl coming to help. he was very ill. ,what was very ill? ,bob was very ill ,carl was very ill ,bob ,0 ,bob ,carl ,0 ,0 
bob collapsed on sidewalk. soon he saw carl coming to help. he was very concerned. ,what does he refer to? ,he refers to bob ,he refers to carl ,carl ,1 ,bob ,carl ,0 ,0 
bob collapsed on sidewalk. soon he saw carl coming to help. he was very concerned. ,what was very concerned? ,bob was very concerned ,carl was very concerned ,carl ,1 ,bob ,carl ,0 ,0 
"sam and amy are passionately in love, but amy's parents are unhappy about it, because they are fifteen. ",what does they refer to? ,they refers to sam and amy ,they refers to amy's parents ,sam and amy ,0 ,sam and amy ,amy's parents ,1 ,1 
"sam and amy are passionately in love, but amy's parents are unhappy about it, because they are fifteen. ",what are fifteen.? ,sam and amy are fifteen. ,amy's parents are fifteen. ,sam and amy ,0 ,sam and amy ,amy's parents ,1 ,1 
"sam and amy are passionately in love, but amy's parents are unhappy about it, because they are snobs. ",what does they refer to? ,they refers to sam and amy ,they refers to amy's parents ,amy's parents ,1 ,sam and amy ,amy's parents ,1 ,1 
"sam and amy are passionately in love, but amy's parents are unhappy about it, because they are snobs. ",what are snobs.? ,sam and amy are snobs. ,amy's parents are snobs. ,amy's parents ,1 ,sam and amy ,amy's parents ,1 ,1 
"mark told pete many lies about himself, which pete included in his book. he should have been more truthful. ",what does he refer to? ,he refers to mark ,he refers to pete ,mark ,0 ,mark ,pete ,0 ,0 
"mark told pete many lies about himself, which pete included in his book. he should have been more truthful. ",what should have been more truthful.? ,mark should have been more truthful. ,pete should have been more truthful. ,mark ,0 ,mark ,pete ,0 ,0 
"mark told pete many lies about himself, which pete included in his book. he should have been more skeptical. ",what does he refer to? ,he refers to mark ,he refers to pete ,pete ,1 ,mark ,pete ,0 ,0 
"mark told pete many lies about himself, which pete included in his book. he should have been more skeptical. ",what should have been more skeptical.? ,mark should have been more skeptical. ,pete should have been more skeptical. ,pete ,1 ,mark ,pete ,0 ,0 
joe has sold his house and bought a new one a few miles away. he will be moving out of it on thursday. ,what does it refer to? ,it refers to old house ,it refers to new house ,old house ,0 ,old house ,new house ,1 ,1 
joe has sold his house and bought a new one a few miles away. he will be moving out of it on thursday. ,whatving out of it? ,old houseving out of it ,new houseving out of it ,old house ,0 ,old house ,new house ,1 ,1 
joe has sold his house and bought a new one a few miles away. he will be moving into it on thursday. ,what does it refer to? ,it refers to old house ,it refers to new house ,new house ,1 ,old house ,new house ,1 ,1 
joe has sold his house and bought a new one a few miles away. he will be moving into it on thursday. ,whatving into it? ,old houseving into it ,new houseving into it ,new house ,1 ,old house ,new house ,1 ,1 
many people start to read paul's books and can't put them down. they are gripped because paul writes so well. ,what does they refer to? ,they refers to people ,they refers to paul's books ,people ,0 ,people ,paul's books ,1 ,1 
many people start to read paul's books and can't put them down. they are gripped because paul writes so well. ,what are gripped? ,people are gripped ,paul's books are gripped ,people ,0 ,people ,paul's books ,1 ,1 
many people start to read paul's books and can't put them down. they are popular because paul writes so well. ,what does they refer to? ,they refers to people ,they refers to paul's books ,paul's books ,1 ,people ,paul's books ,1 ,1 
many people start to read paul's books and can't put them down. they are popular because paul writes so well. ,what are popular? ,people are popular ,paul's books are popular ,paul's books ,1 ,people ,paul's books ,1 ,1 
mary took out her flute and played one of her favorite pieces. she has had it since she was a child. ,what does it refer to? ,it refers to flute ,it refers to piece ,flute ,0 ,flute ,piece ,1 ,1 
mary took out her flute and played one of her favorite pieces. she has had it since she was a child. ,whate has had it? ,flutee has had it ,piecee has had it ,flute ,0 ,flute ,piece ,1 ,1 
mary took out her flute and played one of her favorite pieces. she has loved it since she was a child. ,what does it refer to? ,it refers to flute ,it refers to piece ,piece ,1 ,flute ,piece ,1 ,1 
mary took out her flute and played one of her favorite pieces. she has loved it since she was a child. ,whate has loved it? ,flutee has loved it ,piecee has loved it ,piece ,1 ,flute ,piece ,1 ,1 
"sam pulled up a chair to piano, but it was broken, so he had to stand instead. ",what does it refer to? ,it refers to chair ,it refers to piano ,chair ,0 ,chair ,piano ,1 ,1 
"sam pulled up a chair to piano, but it was broken, so he had to stand instead. ",what was broken? ,chair was broken ,piano was broken ,chair ,0 ,chair ,piano ,1 ,1 
"sam pulled up a chair to piano, but it was broken, so he had to sing instead. ",what does it refer to? ,it refers to chair ,it refers to piano ,piano ,1 ,chair ,piano ,1 ,1 
"sam pulled up a chair to piano, but it was broken, so he had to sing instead. ",what was broken? ,chair was broken ,piano was broken ,piano ,1 ,chair ,piano ,1 ,1 
"since it was raining, i carried newspaper in my backpack to keep it dry. ",what does it refer to? ,it refers to newspaper ,it refers to backpack ,newspaper ,0 ,newspaper ,backpack ,1 ,1 
"since it was raining, i carried newspaper in my backpack to keep it dry. ",whatep it dry? ,newspaperep it dry ,backpackep it dry ,newspaper ,0 ,newspaper ,backpack ,1 ,1 
"since it was raining, i carried newspaper over my backpack to keep it dry. ",what does it refer to? ,it refers to newspaper ,it refers to backpack ,backpack ,1 ,newspaper ,backpack ,1 ,1 
"since it was raining, i carried newspaper over my backpack to keep it dry. ",whatep it dry? ,newspaperep it dry ,backpackep it dry ,backpack ,1 ,newspaper ,backpack ,1 ,1 
sara borrowed book from library because she needs it for an article she is working on. she reads it when she gets home from work. ,what does it refer to? ,it refers to book ,it refers to article ,book ,0 ,book ,article ,1 ,1 
sara borrowed book from library because she needs it for an article she is working on. she reads it when she gets home from work. ,whate reads it? ,booke reads it ,articlee reads it ,book ,0 ,book ,article ,1 ,1 
sara borrowed book from library because she needs it for an article she is working on. she writes it when she gets home from work. ,what does it refer to? ,it refers to book ,it refers to article ,article ,1 ,book ,article ,1 ,1 
sara borrowed book from library because she needs it for an article she is working on. she writes it when she gets home from work. ,whate writes it? ,booke writes it ,articlee writes it ,article ,1 ,book ,article ,1 ,1 
"this morning, joey built a sand castle on beach, and put a toy flag in highest tower, but this afternoon tide knocked it down. ",what does it refer to? ,it refers to sand castle ,it refers to flag ,sand castle ,0 ,sand castle ,flag ,1 ,1 
"this morning, joey built a sand castle on beach, and put a toy flag in highest tower, but this afternoon tide knocked it down. ",whatocked it down? ,sand castleocked it down ,flagocked it down ,sand castle ,0 ,sand castle ,flag ,1 ,1 
"this morning, joey built a sand castle on beach, and put a toy flag in highest tower, but this afternoon wind knocked it down. ",what does it refer to? ,it refers to sand castle ,it refers to flag ,flag ,1 ,sand castle ,flag ,1 ,1 
"this morning, joey built a sand castle on beach, and put a toy flag in highest tower, but this afternoon wind knocked it down. ",whatocked it down? ,sand castleocked it down ,flagocked it down ,flag ,1 ,sand castle ,flag ,1 ,1 
"jane knocked on susan's door, but there was no answer. she was disappointed. ",what does she refer to? ,she refers to jane ,she refers to susan ,jane ,0 ,jane ,susan ,1 ,1 
"jane knocked on susan's door, but there was no answer. she was disappointed. ",what was disappointed.? ,jane was disappointed. ,susan was disappointed. ,jane ,0 ,jane ,susan ,1 ,1 
"jane knocked on susan's door, but there was no answer. she was out. ",what does she refer to? ,she refers to jane ,she refers to susan ,susan ,1 ,jane ,susan ,1 ,1 
"jane knocked on susan's door, but there was no answer. she was out. ",what was out.? ,jane was out. ,susan was out. ,susan ,1 ,jane ,susan ,1 ,1 
"jane knocked on door, and susan answered it. she invited her to come out. ",what does she refer to? ,she refers to jane ,she refers to susan ,jane ,0 ,jane ,susan ,1 ,1 
"jane knocked on door, and susan answered it. she invited her to come out. ",what invited? ,jane invited ,susan invited ,jane ,0 ,jane ,susan ,1 ,1 
"jane knocked on door, and susan answered it. she invited her to come in. ",what does she refer to? ,she refers to jane ,she refers to susan ,susan ,1 ,jane ,susan ,1 ,1 
"jane knocked on door, and susan answered it. she invited her to come in. ",what invited? ,jane invited ,susan invited ,susan ,1 ,jane ,susan ,1 ,1 
"sam took french classes from adam, because he was eager to speak it fluently. ",what does he refer to? ,he refers to sam ,he refers to adam ,sam ,0 ,sam ,adam ,1 ,0 
"sam took french classes from adam, because he was eager to speak it fluently. ",what was eager? ,sam was eager ,adam was eager ,sam ,0 ,sam ,adam ,1 ,0 
"sam took french classes from adam, because he was known to speak it fluently. ",what does it refer to? ,it refers to sam ,it refers to adam ,adam ,1 ,sam ,adam ,1 ,0 
"sam took french classes from adam, because he was known to speak it fluently. ",what was known to speak it? ,sam was known to speak it ,adam was known to speak it ,adam ,1 ,sam ,adam ,1 ,0 
"path to lake was blocked, so we couldn't use it. ",what does it refer to? ,it refers to path ,it refers to lake ,path ,0 ,path ,lake ,1 ,1 
"path to lake was blocked, so we couldn't use it. ",whate it? ,pathe it ,lakee it ,path ,0 ,path ,lake ,1 ,1 
"path to lake was blocked, so we couldn't reach it. ",what does it refer to? ,it refers to path ,it refers to lake ,lake ,1 ,path ,lake ,1 ,1 
"path to lake was blocked, so we couldn't reach it. ",whatach it? ,pathach it ,lakeach it ,lake ,1 ,path ,lake ,1 ,1 
"sun was covered by a thick cloud all morning, but luckily, by time picnic started, it was out. ",what does it refer to? ,it refers to sun ,it refers to cloud ,sun ,0 ,sun ,cloud ,1 ,1 
"sun was covered by a thick cloud all morning, but luckily, by time picnic started, it was out. ",what was out? ,sun was out ,cloud was out ,sun ,0 ,sun ,cloud ,1 ,1 
"sun was covered by a thick cloud all morning, but luckily, by time picnic started, it was gone. ",what does it refer to? ,it refers to sun ,it refers to cloud ,cloud ,1 ,sun ,cloud ,1 ,1 
"sun was covered by a thick cloud all morning, but luckily, by time picnic started, it was gone. ",what was gone? ,sun was gone ,cloud was gone ,cloud ,1 ,sun ,cloud ,1 ,1 
"we went to lake, because a shark had been seen at ocean beach, so it was a safer place to swim. ",what does it refer to? ,it refers to lake ,it refers to ocean beach ,lake ,0 ,lake ,ocean beach ,1 ,1 
"we went to lake, because a shark had been seen at ocean beach, so it was a safer place to swim. ",what was a safer place? ,lake was a safer place ,ocean beach was a safer place ,lake ,0 ,lake ,ocean beach ,1 ,1 
"we went to lake, because a shark had been seen at ocean beach, so it was a dangerous place to swim. ",what does it refer to? ,it refers to lake ,it refers to ocean beach ,ocean beach ,1 ,lake ,ocean beach ,1 ,1 
"we went to lake, because a shark had been seen at ocean beach, so it was a dangerous place to swim. ",what was a dangerous place? ,lake was a dangerous place ,ocean beach was a dangerous place ,ocean beach ,1 ,lake ,ocean beach ,1 ,1 
"sam tried to paint a picture of shepherds with sheep, but they ended up looking more like golfers. ",what does they refer to? ,they refers to shepherds ,they refers to sheep ,shepherds ,0 ,shepherds ,sheep ,1 ,1 
"sam tried to paint a picture of shepherds with sheep, but they ended up looking more like golfers. ",what ended up looking more like golfers.? ,shepherds ended up looking more like golfers. ,sheep ended up looking more like golfers. ,shepherds ,0 ,shepherds ,sheep ,1 ,1 
"sam tried to paint a picture of shepherds with sheep, but they ended up looking more like dogs. ",what does they refer to? ,they refers to shepherds ,they refers to sheep ,sheep ,1 ,shepherds ,sheep ,1 ,1 
"sam tried to paint a picture of shepherds with sheep, but they ended up looking more like dogs. ",what ended up looking more like dogs.? ,shepherds ended up looking more like dogs. ,sheep ended up looking more like dogs. ,sheep ,1 ,shepherds ,sheep ,1 ,1 
"mary tucked her daughter anne into bed, so that she could work. ",what does she refer to? ,she refers to mary ,she refers to mary's daughter ,mary ,0 ,mary ,mary's daughter ,1 ,1 
"mary tucked her daughter anne into bed, so that she could work. ",what could work? ,mary could work ,mary's daughter could work ,mary ,0 ,mary ,mary's daughter ,1 ,1 
"mary tucked her daughter anne into bed, so that she could sleep. ",what does she refer to? ,she refers to mary ,she refers to mary's daughter ,mary's daughter ,1 ,mary ,mary's daughter ,1 ,1 
"mary tucked her daughter anne into bed, so that she could sleep. ",what could sleep.? ,mary could sleep. ,mary's daughter could sleep. ,mary's daughter ,1 ,mary ,mary's daughter ,1 ,1 
"fred and alice had very warm down coats, but they were not prepared for cold in alaska. ",what does they refer to? ,they refers to fred and alice ,they refers to coats ,fred and alice ,0 ,fred and alice ,coats ,1 ,1 
"fred and alice had very warm down coats, but they were not prepared for cold in alaska. ",what were not prepared? ,fred and alice were not prepared ,coats were not prepared ,fred and alice ,0 ,fred and alice ,coats ,1 ,1 
"fred and alice had very warm down coats, but they were not enough for cold in alaska. ",what does they refer to? ,they refers to fred and alice ,they refers to coats ,coats ,1 ,fred and alice ,coats ,1 ,1 
"fred and alice had very warm down coats, but they were not enough for cold in alaska. ",what were not enough? ,fred and alice were not enough ,coats were not enough ,coats ,1 ,fred and alice ,coats ,1 ,1 
thomson visited cooper's grave in 1765. at that date he had been travelling for five years. ,what does he refer to? ,he refers to thomson ,he refers to cooper ,thomson ,0 ,thomson ,cooper ,1 ,0 
thomson visited cooper's grave in 1765. at that date he had been travelling for five years. ,what had been travelling? ,thomson had been travelling ,cooper had been travelling ,thomson ,0 ,thomson ,cooper ,1 ,0 
thomson visited cooper's grave in 1765. at that date he had been dead for five years. ,what does he refer to? ,he refers to thomson ,he refers to cooper ,cooper ,1 ,thomson ,cooper ,1 ,0 
thomson visited cooper's grave in 1765. at that date he had been dead for five years. ,what had been dead? ,thomson had been dead ,cooper had been dead ,cooper ,1 ,thomson ,cooper ,1 ,0 
"jackson was greatly influenced by arnold, though he lived two centuries later. ",what does he refer to? ,he refers to jackson ,he refers to arnold ,jackson ,0 ,jackson ,arnold ,0 ,0 
"jackson was greatly influenced by arnold, though he lived two centuries later. ",what lived two centuries later.? ,jackson lived two centuries later. ,arnold lived two centuries later. ,jackson ,0 ,jackson ,arnold ,0 ,0 
"jackson was greatly influenced by arnold, though he lived two centuries earlier. ",what does he refer to? ,he refers to jackson ,he refers to arnold ,arnold ,1 ,jackson ,arnold ,0 ,0 
"jackson was greatly influenced by arnold, though he lived two centuries earlier. ",what lived two centuries earlier.? ,jackson lived two centuries earlier. ,arnold lived two centuries earlier. ,arnold ,1 ,jackson ,arnold ,0 ,0 
i can't cut that tree down with that axe; it is too thick. ,what does it refer to? ,it refers to tree ,it refers to axe ,tree ,0 ,tree ,axe ,1 ,1 
i can't cut that tree down with that axe; it is too thick. ,what is too thick.? ,tree is too thick. ,axe is too thick. ,tree ,0 ,tree ,axe ,1 ,1 
i can't cut that tree down with that axe; it is too small. ,what does it refer to? ,it refers to tree ,it refers to axe ,axe ,1 ,tree ,axe ,1 ,1 
i can't cut that tree down with that axe; it is too small. ,what is too small.? ,tree is too small. ,axe is too small. ,axe ,1 ,tree ,axe ,1 ,1 
foxes are getting in at night and attacking chickens. i shall have to kill them. ,what does them refer to? ,them refers to foxes ,them refers to chickens ,foxes ,0 ,foxes ,chickens ,1 ,1 
foxes are getting in at night and attacking chickens. i shall have to kill them. ,whatill them? ,foxesill them ,chickensill them ,foxes ,0 ,foxes ,chickens ,1 ,1 
foxes are getting in at night and attacking chickens. i shall have to guard them. ,what does them refer to? ,them refers to foxes ,them refers to chickens ,chickens ,1 ,foxes ,chickens ,1 ,1 
foxes are getting in at night and attacking chickens. i shall have to guard them. ,whatuard them? ,foxesuard them ,chickensuard them ,chickens ,1 ,foxes ,chickens ,1 ,1 
foxes are getting in at night and attacking chickens. they have gotten very bold. ,what does they refer to? ,they refers to foxes ,they refers to chickens ,foxes ,0 ,foxes ,chickens ,1 ,1 
foxes are getting in at night and attacking chickens. they have gotten very bold. ,what have gotten very bold.? ,foxes have gotten very bold. ,chickens have gotten very bold. ,foxes ,0 ,foxes ,chickens ,1 ,1 
foxes are getting in at night and attacking chickens. they have gotten very nervous. ,what does they refer to? ,they refers to foxes ,they refers to chickens ,chickens ,1 ,foxes ,chickens ,1 ,1 
foxes are getting in at night and attacking chickens. they have gotten very nervous. ,what have gotten very nervous.? ,foxes have gotten very nervous. ,chickens have gotten very nervous. ,chickens ,1 ,foxes ,chickens ,1 ,1 
"fred covered his eyes with his hands, because wind was blowing sand around. he opened them when wind stopped. ",what does them refer to? ,them refers to his eyes ,them refers to his hands ,his eyes ,0 ,his eyes ,his hands ,1 ,1 
"fred covered his eyes with his hands, because wind was blowing sand around. he opened them when wind stopped. ",whated them? ,his eyesed them ,his handsed them ,his eyes ,0 ,his eyes ,his hands ,1 ,1 
"fred covered his eyes with his hands, because wind was blowing sand around. he lowered them when wind stopped. ",what does them refer to? ,them refers to his eyes ,them refers to his hands ,his hands ,1 ,his eyes ,his hands ,1 ,1 
"fred covered his eyes with his hands, because wind was blowing sand around. he lowered them when wind stopped. ",whatred them? ,his eyesred them ,his handsred them ,his hands ,1 ,his eyes ,his hands ,1 ,1 
"actress used to be named terpsichore, but she changed it to tina a few years ago, because she figured it was too hard to pronounce. ",what does it refer to? ,it refers to terpsichore ,it refers to tina ,terpsichore ,0 ,terpsichore ,tina ,1 ,1 
"actress used to be named terpsichore, but she changed it to tina a few years ago, because she figured it was too hard to pronounce. ",what was too hard? ,terpsichore was too hard ,tina was too hard ,terpsichore ,0 ,terpsichore ,tina ,1 ,1 
"actress used to be named terpsichore, but she changed it to tina a few years ago, because she figured it was easier to pronounce. ",what does it refer to? ,it refers to terpsichore ,it refers to tina ,tina ,1 ,terpsichore ,tina ,1 ,1 
"actress used to be named terpsichore, but she changed it to tina a few years ago, because she figured it was easier to pronounce. ",what was easier? ,terpsichore was easier ,tina was easier ,tina ,1 ,terpsichore ,tina ,1 ,1 
fred watched tv while george went out to buy groceries. after an hour he got up. ,what does he refer to? ,he refers to fred ,he refers to george ,fred ,0 ,fred ,george ,1 ,1 
fred watched tv while george went out to buy groceries. after an hour he got up. ,what got up.? ,fred got up. ,george got up. ,fred ,0 ,fred ,george ,1 ,1 
fred watched tv while george went out to buy groceries. after an hour he got back. ,what does he refer to? ,he refers to fred ,he refers to george ,george ,1 ,fred ,george ,1 ,1 
fred watched tv while george went out to buy groceries. after an hour he got back. ,what got back.? ,fred got back. ,george got back. ,george ,1 ,fred ,george ,1 ,1 
"fred was supposed to run dishwasher, but he put it off, because he wanted to watch tv. but show turned out to be boring, so he changed his mind and turned it on. ",what does it refer to? ,it refers to dishwasher ,it refers to tv ,dishwasher ,0 ,dishwasher ,tv ,1 ,1 
"fred was supposed to run dishwasher, but he put it off, because he wanted to watch tv. but show turned out to be boring, so he changed his mind and turned it on. ",whatrned it on? ,dishwasherrned it on ,tvrned it on ,dishwasher ,0 ,dishwasher ,tv ,1 ,1 
"fred was supposed to run dishwasher, but he put it off, because he wanted to watch tv. but show turned out to be boring, so he changed his mind and turned it off. ",what does it refer to? ,it refers to dishwasher ,it refers to tv ,tv ,1 ,dishwasher ,tv ,1 ,1 
"fred was supposed to run dishwasher, but he put it off, because he wanted to watch tv. but show turned out to be boring, so he changed his mind and turned it off. ",whatrned it off? ,dishwasherrned it off ,tvrned it off ,tv ,1 ,dishwasher ,tv ,1 ,1 
fred is only man still alive who remembers my great-grandfather. he is a remarkable man. ,what does he refer to? ,he refers to fred ,he refers to my great-grandfather ,fred ,0 ,fred ,my great-grandfather ,1 ,1 
fred is only man still alive who remembers my great-grandfather. he is a remarkable man. ,what is a remarkable man.? ,fred is a remarkable man. ,my great-grandfather is a remarkable man. ,fred ,0 ,fred ,my great-grandfather ,1 ,1 
fred is only man still alive who remembers my great-grandfather. he was a remarkable man. ,what does he refer to? ,he refers to fred ,he refers to my great-grandfather ,my great-grandfather ,1 ,fred ,my great-grandfather ,1 ,1 
fred is only man still alive who remembers my great-grandfather. he was a remarkable man. ,what was a remarkable man.? ,fred was a remarkable man. ,my great-grandfather was a remarkable man. ,my great-grandfather ,1 ,fred ,my great-grandfather ,1 ,1 
"fred is only man alive who still remembers my father as an infant. when fred first saw my father, he was twelve years old. ",what does he refer to? ,he refers to fred ,he refers to my father ,fred ,0 ,fred ,my father ,1 ,1 
"fred is only man alive who still remembers my father as an infant. when fred first saw my father, he was twelve years old. ",what was twelve years old.? ,fred was twelve years old. ,my father was twelve years old. ,fred ,0 ,fred ,my father ,1 ,1 
"fred is only man alive who still remembers my father as an infant. when fred first saw my father, he was twelve months old. ",what does he refer to? ,he refers to fred ,he refers to my father ,my father ,1 ,fred ,my father ,1 ,1 
"fred is only man alive who still remembers my father as an infant. when fred first saw my father, he was twelve months old. ",what was twelve months old.? ,fred was twelve months old. ,my father was twelve months old. ,my father ,1 ,fred ,my father ,1 ,1 
